,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
AAL,225.0,200.0,200.0,B,B,B,American Airlines Group Inc.,0.5381751392065744,0.6698822584382338,4.0,0.8033876586928547
AAPL,355.0,255.0,275.0,BB,B,B,Apple Inc.,0.0420869062819425,0.6084818548253241,1.0,0.0691670687436099
ADBE,240.0,210.0,200.0,B,B,B,Adobe Systems Incorporated,0.1221542705163657,0.3424558490852534,1.0,0.3567007859338846
ADI,345.0,290.0,307.0,BB,BB,B,Analog Devices Inc.,0.2486679928142841,0.3080857879311285,0.0,0.8071387988525878
ADP,520.0,305.0,307.0,A,BB,BB,Automatic Data Processing Inc.,0.2375901114936792,0.2466161609072739,0.0,0.9634004139047948
ADSK,560.0,310.0,331.0,A,BB,BB,Autodesk Inc.,0.0992871083022498,0.3661045546204897,1.0,0.2711987792808876
AKAM,580.0,375.0,353.0,A,BB,BB,Akamai Technologies Inc.,0.1067852372808062,0.2686299372544976,1.0,0.3975180070106591
AMAT,543.0,318.0,318.0,A,BB,BB,Applied Materials Inc.,0.5156910877269023,0.431626191807952,4.0,1.1947631944364354
AMGN,527.0,300.0,355.0,A,BB,BB,Amgen Inc.,0.0324644791739527,0.2349787713557651,1.0,0.1381592004530509
AMZN,658.0,305.0,303.0,AA,BB,BB,Amazon.com Inc.,0.0923015746831271,0.3368926529791674,1.0,0.2739791855562811
ATVI,280.0,300.0,331.0,B,BB,BB,Activision Blizzard Inc,0.1195739530921902,0.3425763006052255,1.0,0.3490432726401106
AVGO,240.0,220.0,215.0,B,B,B,Broadcom Limited,0.4222817582571734,0.3043090936631619,4.0,1.3876738061748324
BATRA,500.0,300.0,300.0,A,BB,BB,Liberty Media Corporation,0.1996450675235532,0.3654754234342484,0.0,0.5462612660724387
BATRK,500.0,300.0,300.0,A,BB,BB,Liberty Media Corporation,0.1884375365748059,0.3657874808591126,0.0,0.5151557842609297
BBBY,225.0,205.0,201.0,B,B,B,Bed Bath &amp; Beyond Inc.,0.9616111402996655,1.0683760524720736,3.0,0.9000680407190251
BIDU,225.0,205.0,207.0,B,B,B,Baidu Inc.,0.3064178963218673,0.5998863516650692,4.0,0.5107932452061315
BIIB,390.0,328.0,320.0,BB,BB,BB,Biogen Inc.,-0.0390133535893092,0.5548073425378125,1.0,-0.0703187405755185
BMRN,525.0,305.0,304.0,A,BB,BB,BioMarin Pharmaceutical Inc.,0.0392288275159566,0.405726934058047,1.0,0.0966877577576454
CERN,515.0,300.0,307.0,A,BB,BB,Cerner Corporation,0.1908441803096598,0.2171077809988912,0.0,0.879029666424689
