,Returns,Variance
AAL,0.5381751392065744,0.6698822584382338
AAPL,0.0420869062819425,0.6084818548253241
ADBE,0.1221542705163657,0.34245584908525345
ADI,0.24866799281428414,0.3080857879311285
ADP,0.23759011149367926,0.24661616090727398
ADSK,0.09928710830224985,0.3661045546204897
AKAM,0.10678523728080629,0.2686299372544976
AMAT,0.5156910877269023,0.431626191807952
AMGN,0.03246447917395278,0.2349787713557651
AMZN,0.09230157468312714,0.3368926529791674
ATVI,0.11957395309219021,0.34257630060522554
AVGO,0.42228175825717346,0.3043090936631619
BATRA,0.1996450675235532,0.36547542343424844
BATRK,0.18843753657480597,0.36578748085911267
BBBY,0.9616111402996657,1.0683760524720736
BIDU,0.3064178963218673,0.5998863516650692
BIIB,-0.03901335358930929,0.5548073425378125
BMRN,0.03922882751595663,0.40572693405804705
CERN,0.19084418030965983,0.21710778099889125
CHKP,0.13142120308713415,0.25271743962587223
CHTR,-0.05839063615411604,0.26294502896029626
CMCSA,0.07847813194610273,0.2511794628409198
COST,0.300095030363405,0.20058637568758128
CSCO,0.11419402142980822,0.24073243901497526
CSX,-0.0580319469314969,0.5403463822897862
CTSH,0.21522218432851833,0.26063668425053593
CTXS,-0.1379545499524355,0.3225817641130669
DISH,0.18112933554151694,0.4154747730712627
DLTR,0.4273019847455684,0.3437713118142239
EA,0.03985367463861463,0.26256178750756204
EBAY,0.18785685678904956,0.3307834174301393
ENDP,-0.021354909162865476,0.8478064143221956
EXPE,0.5938852996422282,0.4814955265967266
FAST,0.24468320010961092,0.23179098679343021
FB,0.07889649760061478,0.4193229218301512
FISV,0.022885646733806757,0.28622277575070937
FOX,0.20746042819815322,0.3382943002434129
FOXA,0.24389058718718948,0.3557056125495985
GILD,-0.12871327777512415,0.21366734835271123
GOOG,0.31397828807206946,0.2753844237831003
GOOGL,0.312306224079212,0.27760462317538165
HSIC,0.2649398735577713,0.3056872207344307
ILMN,0.05519432881192996,0.38663895161767614
INCY,-0.09751658305145883,0.3227308966671928
INTC,-0.08470292880526621,0.3382004153191389
INTU,0.27969765119027207,0.3322631303886442
ISRG,-0.10481122270116641,0.5762282464813975
JD,0.3557758755635592,0.5897666206785911
KHC,0.22375418827981097,0.24153637564671976
LBTYA,0.048316186812765546,0.294448830040736
LRCX,0.4410921478579275,0.4395031855938469
MAR,0.4684829568361581,0.4128459301552386
MAT,0.5885156187276556,0.3632159551831314
MDLZ,0.1425123965035329,0.1755671746977917
MNST,0.21657246847262154,0.2493709845449172
MSFT,0.25599275125422766,0.26577724748006776
MU,0.3048269682671702,0.42489792536900783
NCLH,0.4509634638132726,0.7623900786785449
NTAP,0.3567607063349926,0.34780695431950837
NTES,-0.07129836030447033,0.7692200288410587
NVDA,0.21185230928297435,0.7194151003381383
NXPI,0.36974081444193846,0.40862042610132027
ORLY,0.25303956558347845,0.23925921946872533
PAYX,0.3471615288550949,0.23809649348952064
PCAR,0.13035119951950688,0.25684513519158614
PYPL,-0.063719947211535,0.457859681176846
QCOM,0.38945806274375844,0.4065699394516817
REGN,0.14228502465353898,0.2970345468838084
ROST,0.1242272194558122,0.35794362157440907
SBAC,0.12532866624244862,0.2550010182513978
SBUX,0.05492518106550736,0.2684702945589867
SIRI,0.06418713812992403,0.293053820200962
SRCL,0.0869677510012263,0.2999233253156123
STX,0.35292531835583596,0.3670442057566148
SWKS,0.13799674615360005,0.38292195206962715
TMUS,0.20194833931978565,0.2795016366795415
TRIP,0.3525214241248482,0.6309196057859187
TSCO,0.3799167132268024,0.2832698205258195
TSLA,0.6311777822964547,0.844197117998161
TXN,0.25532858772660666,0.27646081211698714
ULTA,0.37893938637626534,0.3813900384589828
VRSK,0.1673231298430299,0.23357282797088963
VRTX,0.06659438834690057,0.31272414754887445
WBA,0.051650175527380215,0.32350602858011307
WDC,0.25333830110274813,0.46256491197344424
NLSN,0.4161169385202205,0.4489261314648438
PVH,0.411180381867384,0.5743070089574581
GPS,0.4315145218191461,0.6404124751451251
ALK,0.44438687436869445,0.5037282251329297
PENN,0.6774389459696795,0.7117065620323074
DXC,0.4070042998841732,0.5134654700601388
VNO,0.08218161578454114,0.44922796390254943
UA,0.35189513943244266,0.4625227545404663
HII,0.12685725044353452,0.2928258260732272
IPGP,-0.024159750382589554,0.4281194853654616
RL,0.28778559933472975,0.45102454480261134
PNW,0.012097519451926567,0.24106019894032554
AIZ,0.3346774483581289,0.2632236978463183
ANET,0.0839096771929054,0.6494733313806152
LW,0.1439740805039416,0.3889520688133334
NRG,0.1033401338971109,0.3449589814888814
WYNN,0.07881617338283319,0.5461122304782826
FRT,0.28473202904949824,0.4067815042489557
NWL,0.37729351050889554,0.3557177779573123
SEE,0.4738671971779421,0.2927590968408181
IVZ,0.5120963288607011,0.4482955413390844
PNR,0.23383063394073625,0.28217056836906174
TPR,0.5152833307801725,0.47502445424186274
GL,0.15450266452352457,0.2932976471963381
MHK,0.3672881916427671,0.4740940628203546
JNPR,0.22842701842475746,0.27470897162423674
CDAY,0.07218231382392337,0.43165977784792287
BWA,0.22286372747256075,0.3669584067103245
ZION,0.41192775552065247,0.46325906944373724
UHS,0.17190054838906318,0.3504392351068406
ALLE,0.133839344818552,0.2827827314085312
NI,0.11356862657102286,0.22259668926053286
SNA,0.3250993321280914,0.29750177729379074
SEDG,0.6555519793866832,0.6762426696759509
RE,0.30451846164462326,0.2905819287498722
DVA,0.22605598603226446,0.28950709137406755
XRAY,0.06516732938795117,0.3472170214338184
WRK,0.3290166709635634,0.4048331834418651
JKHY,0.11343647564387507,0.26186324484394147
HST,0.40963613583985536,0.4705134042997862
REG,0.3509909046061516,0.4181119075894274
APA,0.8311100952244275,0.6647466401677838
CMA,0.5766017322328157,0.46561275436440525
WHR,0.3262630714945392,0.3345613329969552
AOS,0.21027214045703385,0.29829228726556045
HAS,0.16968872491066078,0.3096880854869467
CBOE,0.12819467088086617,0.27719645563457473
FBHS,0.2218256585636779,0.3321661092421817
RHI,0.45781987240473493,0.3390570714276448
LNC,0.4381426826416008,0.5197587702805979
FFIV,0.15843996500763702,0.3209889922526723
LDOS,0.060171211440033075,0.27199876807084317
NWSA,0.41399607088352774,0.32071328590630616
NWS,0.40272252929636654,0.32503276377409795
MKTX,-0.2169108032168481,0.34266610334947545
ABMD,0.30597067262021205,0.38730757615114464
IRM,0.4760679576420724,0.312043140144389
PHM,0.294058839906191,0.4003857756359118
PTC,0.3444276192497078,0.39675051771334285
HWM,0.6302892609820095,0.4572541235762045
UAL,0.5496206624861779,0.6429235864155464
IPG,0.42658752727896204,0.3609282787176673
CPB,-0.008844948338324997,0.23415073051612043
CHRW,0.24877081283128272,0.2793992579250678
PKG,0.2965085859139343,0.26570588720533783
FMC,0.23521544700430486,0.27929065267098446
