,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
ADI,345.0,290.0,307.0,BB,BB,B,Analog Devices Inc.,0.24866799281428414,0.3080857879311285,0.0,0.8071387988525878
ADP,520.0,305.0,307.0,A,BB,BB,Automatic Data Processing Inc.,0.23759011149367926,0.24661616090727398,0.0,0.9634004139047949
BATRA,500.0,300.0,300.0,A,BB,BB,Liberty Media Corporation,0.1996450675235532,0.36547542343424844,0.0,0.5462612660724387
BATRK,500.0,300.0,300.0,A,BB,BB,Liberty Media Corporation,0.18843753657480597,0.36578748085911267,0.0,0.5151557842609297
CERN,515.0,300.0,307.0,A,BB,BB,Cerner Corporation,0.19084418030965983,0.21710778099889125,0.0,0.879029666424689
COST,540.0,210.0,305.0,A,BB,B,Costco Wholesale Corporation,0.300095030363405,0.20058637568758128,0.0,1.496088801319244
CTSH,600.0,300.0,407.0,AA,BBB,BB,Cognizant Technology Solutions Corporation,0.21522218432851833,0.26063668425053593,0.0,0.8257555337898517
EBAY,515.0,300.0,300.0,A,BB,BB,eBay Inc.,0.18785685678904956,0.3307834174301393,0.0,0.567914976659084
FAST,230.0,200.0,303.0,B,BB,B,Fastenal Company,0.24468320010961092,0.23179098679343021,0.0,1.0556199940926525
FOX,65.0,290.0,273.0,DDD,B,B,Twenty-First Century Fox Inc.,0.20746042819815322,0.3382943002434129,0.0,0.6132542819931617
FOXA,290.0,300.0,300.0,B,BB,BB,Twenty-First Century Fox Inc.,0.24389058718718948,0.3557056125495985,0.0,0.6856529067366969
GOOG,210.0,345.0,340.0,B,BB,BB,Alphabet Inc.,0.31397828807206946,0.2753844237831003,0.0,1.1401454147579773
GOOGL,290.0,325.0,200.0,B,B,BB,Alphabet Inc.,0.312306224079212,0.27760462317538165,0.0,1.1250036851220124
HSIC,210.0,200.0,204.0,B,B,B,Henry Schein Inc.,0.2649398735577713,0.3056872207344307,0.0,0.866702484066028
INTU,545.0,300.0,302.0,A,BB,BB,Intuit Inc.,0.27969765119027207,0.3322631303886442,0.0,0.8417956300571571
KHC,515.0,300.0,321.0,A,BB,BB,The Kraft Heinz Company,0.22375418827981097,0.24153637564671976,0.0,0.9263788432723786
MNST,615.0,325.0,307.0,AA,BB,BB,Monster Beverage Corporation,0.21657246847262154,0.2493709845449172,0.0,0.8684750107068373
MSFT,415.0,205.0,232.0,BBB,B,B,Microsoft Corporation,0.25599275125422766,0.26577724748006776,0.0,0.9631853504443645
MU,535.0,310.0,308.0,A,BB,BB,Micron Technology Inc.,0.3048269682671702,0.42489792536900783,0.0,0.7174122302490403
