,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
AAL,225.0,200.0,200.0,B,B,B,American Airlines Group Inc.,0.5381751392065744,0.6698822584382338,4.0,0.8033876586928547
AAPL,355.0,255.0,275.0,BB,B,B,Apple Inc.,0.0420869062819425,0.6084818548253241,1.0,0.06916706874360998
ADBE,240.0,210.0,200.0,B,B,B,Adobe Systems Incorporated,0.1221542705163657,0.34245584908525345,1.0,0.35670078593388466
ADI,345.0,290.0,307.0,BB,BB,B,Analog Devices Inc.,0.24866799281428414,0.3080857879311285,0.0,0.8071387988525878
ADP,520.0,305.0,307.0,A,BB,BB,Automatic Data Processing Inc.,0.23759011149367926,0.24661616090727398,0.0,0.9634004139047949
ADSK,560.0,310.0,331.0,A,BB,BB,Autodesk Inc.,0.09928710830224985,0.3661045546204897,1.0,0.27119877928088765
AKAM,580.0,375.0,353.0,A,BB,BB,Akamai Technologies Inc.,0.10678523728080629,0.2686299372544976,1.0,0.3975180070106591
AMAT,543.0,318.0,318.0,A,BB,BB,Applied Materials Inc.,0.5156910877269023,0.431626191807952,4.0,1.1947631944364354
AMGN,527.0,300.0,355.0,A,BB,BB,Amgen Inc.,0.03246447917395278,0.2349787713557651,1.0,0.13815920045305097
AMZN,658.0,305.0,303.0,AA,BB,BB,Amazon.com Inc.,0.09230157468312714,0.3368926529791674,1.0,0.27397918555628115
ATVI,280.0,300.0,331.0,B,BB,BB,Activision Blizzard Inc,0.11957395309219021,0.34257630060522554,1.0,0.3490432726401106
AVGO,240.0,220.0,215.0,B,B,B,Broadcom Limited,0.42228175825717346,0.3043090936631619,4.0,1.3876738061748324
BATRA,500.0,300.0,300.0,A,BB,BB,Liberty Media Corporation,0.1996450675235532,0.36547542343424844,0.0,0.5462612660724387
BATRK,500.0,300.0,300.0,A,BB,BB,Liberty Media Corporation,0.18843753657480597,0.36578748085911267,0.0,0.5151557842609297
BBBY,225.0,205.0,201.0,B,B,B,Bed Bath &amp; Beyond Inc.,0.9616111402996657,1.0683760524720736,3.0,0.9000680407190251
BIDU,225.0,205.0,207.0,B,B,B,Baidu Inc.,0.3064178963218673,0.5998863516650692,4.0,0.5107932452061315
BIIB,390.0,328.0,320.0,BB,BB,BB,Biogen Inc.,-0.03901335358930929,0.5548073425378125,1.0,-0.07031874057551854
BMRN,525.0,305.0,304.0,A,BB,BB,BioMarin Pharmaceutical Inc.,0.03922882751595663,0.40572693405804705,1.0,0.09668775775764543
CERN,515.0,300.0,307.0,A,BB,BB,Cerner Corporation,0.19084418030965983,0.21710778099889125,0.0,0.879029666424689
CHKP,545.0,300.0,310.0,A,BB,BB,Check Point Software Technologies Ltd.,0.13142120308713415,0.25271743962587223,1.0,0.520032188050388
CHTR,500.0,300.0,300.0,A,BB,BB,Charter Communications Inc.,-0.05839063615411604,0.26294502896029626,1.0,-0.22206404275827862
CMCSA,505.0,310.0,356.0,A,BB,BB,Comcast Corporation,0.07847813194610273,0.2511794628409198,1.0,0.31243848943098307
COST,540.0,210.0,305.0,A,BB,B,Costco Wholesale Corporation,0.300095030363405,0.20058637568758128,0.0,1.496088801319244
CSCO,235.0,210.0,239.0,B,B,B,Cisco Systems Inc.,0.11419402142980822,0.24073243901497526,1.0,0.47436075460816707
CSX,545.0,308.0,315.0,A,BB,BB,CSX Corporation,-0.0580319469314969,0.5403463822897862,1.0,-0.107397678292171
CTSH,600.0,300.0,407.0,AA,BBB,BB,Cognizant Technology Solutions Corporation,0.21522218432851833,0.26063668425053593,0.0,0.8257555337898517
CTXS,555.0,305.0,328.0,A,BB,BB,Citrix Systems Inc.,-0.1379545499524355,0.3225817641130669,1.0,-0.4276576214149588
DISH,210.0,205.0,257.0,B,B,B,DISH Network Corporation,0.18112933554151694,0.4154747730712627,1.0,0.43595748113074834
DLTR,205.0,200.0,230.0,B,B,B,Dollar Tree Inc.,0.4273019847455684,0.3437713118142239,4.0,1.2429832567776482
EA,395.0,225.0,303.0,BB,BB,B,Electronic Arts Inc.,0.03985367463861463,0.26256178750756204,1.0,0.15178779447282217
EBAY,515.0,300.0,300.0,A,BB,BB,eBay Inc.,0.18785685678904956,0.3307834174301393,0.0,0.567914976659084
ENDP,500.0,312.0,300.0,A,BB,BB,Endo International plc,-0.021354909162865476,0.8478064143221956,1.0,-0.025188426039378698
EXPE,227.0,300.0,235.0,B,B,BB,Expedia Inc.,0.5938852996422282,0.4814955265967266,4.0,1.2334181042966013
FAST,230.0,200.0,303.0,B,BB,B,Fastenal Company,0.24468320010961092,0.23179098679343021,0.0,1.0556199940926525
FB,520.0,305.0,281.0,A,B,BB,Facebook Inc.,0.07889649760061478,0.4193229218301512,1.0,0.18815212213123944
FISV,400.0,300.0,300.0,BBB,BB,BB,Fiserv Inc.,0.022885646733806757,0.28622277575070937,1.0,0.07995746206353405
FOX,65.0,290.0,273.0,DDD,B,B,Twenty-First Century Fox Inc.,0.20746042819815322,0.3382943002434129,0.0,0.6132542819931617
FOXA,290.0,300.0,300.0,B,BB,BB,Twenty-First Century Fox Inc.,0.24389058718718948,0.3557056125495985,0.0,0.6856529067366969
GILD,500.0,300.0,303.0,A,BB,BB,Gilead Sciences Inc.,-0.12871327777512415,0.21366734835271123,1.0,-0.6024003141680346
GOOG,210.0,345.0,340.0,B,BB,BB,Alphabet Inc.,0.31397828807206946,0.2753844237831003,0.0,1.1401454147579773
GOOGL,290.0,325.0,200.0,B,B,BB,Alphabet Inc.,0.312306224079212,0.27760462317538165,0.0,1.1250036851220124
HSIC,210.0,200.0,204.0,B,B,B,Henry Schein Inc.,0.2649398735577713,0.3056872207344307,0.0,0.866702484066028
ILMN,500.0,300.0,303.0,A,BB,BB,Illumina Inc.,0.05519432881192996,0.38663895161767614,1.0,0.14275418599445275
INCY,505.0,300.0,312.0,A,BB,BB,Incyte Corporation,-0.09751658305145883,0.3227308966671928,1.0,-0.30216066716419804
INTC,350.0,465.0,325.0,BB,BB,BBB,Intel Corporation,-0.08470292880526621,0.3382004153191389,1.0,-0.25045187695981175
INTU,545.0,300.0,302.0,A,BB,BB,Intuit Inc.,0.27969765119027207,0.3322631303886442,0.0,0.8417956300571571
ISRG,530.0,281.0,262.0,A,B,B,Intuitive Surgical Inc.,-0.10481122270116641,0.5762282464813975,1.0,-0.18189185160771196
JD,500.0,310.0,236.0,A,B,BB,JD.com Inc.,0.3557758755635592,0.5897666206785911,4.0,0.603248578487199
KHC,515.0,300.0,321.0,A,BB,BB,The Kraft Heinz Company,0.22375418827981097,0.24153637564671976,0.0,0.9263788432723786
LBTYA,550.0,310.0,353.0,A,BB,BB,Liberty Global plc,0.048316186812765546,0.294448830040736,1.0,0.1640902658912965
LRCX,545.0,310.0,324.0,A,BB,BB,Lam Research Corporation,0.4410921478579275,0.4395031855938469,4.0,1.0036153600614603
MAR,210.0,210.0,207.0,B,B,B,Marriott International,0.4684829568361581,0.4128459301552386,4.0,1.1347646243236522
MAT,215.0,305.0,301.0,B,BB,BB,Mattel Inc.,0.5885156187276556,0.3632159551831314,4.0,1.620291207832347
MDLZ,513.0,300.0,327.0,A,BB,BB,Mondelez International Inc.,0.1425123965035329,0.1755671746977917,1.0,0.8117257496957683
MNST,615.0,325.0,307.0,AA,BB,BB,Monster Beverage Corporation,0.21657246847262154,0.2493709845449172,0.0,0.8684750107068373
MSFT,415.0,205.0,232.0,BBB,B,B,Microsoft Corporation,0.25599275125422766,0.26577724748006776,0.0,0.9631853504443645
MU,535.0,310.0,308.0,A,BB,BB,Micron Technology Inc.,0.3048269682671702,0.42489792536900783,0.0,0.7174122302490403
NCLH,555.0,305.0,302.0,A,BB,BB,Norwegian Cruise Line Holdings Ltd.,0.4509634638132726,0.7623900786785449,4.0,0.5915127654794907
NTAP,535.0,315.0,346.0,A,BB,BB,NetApp Inc.,0.3567607063349926,0.34780695431950837,0.0,1.02574345309743
NTES,505.0,300.0,295.0,A,B,BB,NetEase Inc.,-0.07129836030447033,0.7692200288410587,1.0,-0.09268916256885774
NVDA,323.0,280.0,304.0,BB,BB,B,NVIDIA Corporation,0.21185230928297435,0.7194151003381383,4.0,0.2944785412252257
NXPI,525.0,305.0,331.0,A,BB,BB,NXP Semiconductors N.V.,0.36974081444193846,0.40862042610132027,4.0,0.9048515219115812
ORLY,500.0,300.0,300.0,A,BB,BB,'O''Reilly Automotive Inc.',0.25303956558347845,0.23925921946872533,0.0,1.0575958834328405
PAYX,505.0,320.0,341.0,A,BB,BB,Paychex Inc.,0.3471615288550949,0.23809649348952064,0.0,1.4580707332860177
PCAR,530.0,305.0,382.0,A,BB,BB,PACCAR Inc.,0.13035119951950688,0.25684513519158614,1.0,0.5075089291540414
PYPL,400.0,318.0,230.0,BBB,B,BB,PayPal Holdings Inc.,-0.063719947211535,0.457859681176846,1.0,-0.1391691599656784
QCOM,404.0,300.0,300.0,BBB,BB,BB,QUALCOMM Incorporated,0.38945806274375844,0.4065699394516817,4.0,0.957911603767359
REGN,525.0,300.0,301.0,A,BB,BB,Regeneron Pharmaceuticals Inc.,0.14228502465353898,0.2970345468838084,1.0,0.4790184379098398
ROST,385.0,300.0,304.0,BB,BB,BB,Ross Stores Inc.,0.1242272194558122,0.35794362157440907,1.0,0.34705806157238067
SBAC,250.0,215.0,251.0,B,B,B,SBA Communications Corporation,0.12532866624244862,0.2550010182513978,1.0,0.4914830030948773
SBUX,515.0,303.0,335.0,A,BB,BB,Starbucks Corporation,0.05492518106550736,0.2684702945589867,1.0,0.20458569226711795
SIRI,240.0,205.0,301.0,B,BB,B,Sirius XM Holdings Inc.,0.06418713812992403,0.293053820200962,1.0,0.21902849819841158
SRCL,575.0,300.0,319.0,A,BB,BB,Stericycle Inc.,0.0869677510012263,0.2999233253156123,1.0,0.28996661366604043
STX,515.0,315.0,310.0,A,BB,BB,Seagate Technology PLC,0.35292531835583596,0.3670442057566148,0.0,0.9615335505115126
SWKS,505.0,270.0,305.0,A,BB,B,Skyworks Solutions Inc.,0.13799674615360005,0.38292195206962715,1.0,0.3603782583049925
TMUS,391.0,225.0,308.0,BB,BB,B,T-Mobile US Inc.,0.20194833931978565,0.2795016366795415,0.0,0.7225300778876174
TRIP,210.0,200.0,214.0,B,B,B,TripAdvisor Inc.,0.3525214241248482,0.6309196057859187,4.0,0.5587422246701659
TSCO,503.0,305.0,300.0,A,BB,BB,Tractor Supply Company,0.3799167132268024,0.2832698205258195,0.0,1.3411831607108098
TSLA,563.0,255.0,146.0,A,CC,B,Tesla Motors Inc.,0.6311777822964547,0.844197117998161,3.0,0.7476663552147186
TXN,500.0,300.0,300.0,A,BB,BB,Texas Instruments Incorporated,0.25532858772660666,0.27646081211698714,0.0,0.923561591863377
ULTA,200.0,205.0,228.0,B,B,B,Ulta Salon Cosmetics &amp; Fragrance Inc.,0.37893938637626534,0.3813900384589828,4.0,0.9935744203162218
VRSK,650.0,300.0,365.0,AA,BB,BB,Verisk Analytics Inc.,0.1673231298430299,0.23357282797088963,1.0,0.7163638480409353
VRTX,294.0,300.0,300.0,B,BB,BB,Vertex Pharmaceuticals Incorporated,0.06659438834690057,0.31272414754887445,1.0,0.21294930010639102
WBA,510.0,300.0,301.0,A,BB,BB,Walgreens Boots Alliance Inc.,0.051650175527380215,0.32350602858011307,1.0,0.15965753638062286
WDC,415.0,240.0,305.0,BBB,BB,B,Western Digital Corporation,0.25333830110274813,0.46256491197344424,0.0,0.5476816216386344
NLSN,540.0,300.0,300.0,A,BB,BB,Nielsen Holdings plc,0.4161169385202205,0.4489261314648438,4.0,0.926916277211204
PVH,363.0,350.0,326.0,BB,BB,BB,PVH Corp.,0.411180381867384,0.5743070089574581,4.0,0.7159591916069445
GPS,520.0,328.0,352.0,A,BB,BB,"The Gap, Inc.",0.4315145218191461,0.6404124751451251,4.0,0.6738071767283418
ALK,500.0,220.0,307.0,A,BB,B,"Alaska Air Group, Inc.",0.44438687436869445,0.5037282251329297,4.0,0.8821957003728041
PENN,341.0,210.0,323.0,BB,BB,B,"Penn National Gaming, Inc.",0.6774389459696795,0.7117065620323074,3.0,0.9518514822109053
DXC,510.0,308.0,355.0,A,BB,BB,DXC Technology Company,0.4070042998841732,0.5134654700601388,4.0,0.7926614808908251
VNO,535.0,310.0,318.0,A,BB,BB,Vornado Realty Trust,0.08218161578454114,0.44922796390254943,1.0,0.18293967069772335
UA,240.0,200.0,311.0,B,BB,B,"Under Armour, Inc.",0.35189513943244266,0.4625227545404663,4.0,0.7608169240928777
HII,560.0,310.0,319.0,A,BB,BB,"Huntington Ingalls Industries, Inc.",0.12685725044353452,0.2928258260732272,1.0,0.4332174253366956
IPGP,477.0,245.0,302.0,BBB,BB,B,IPG Photonics Corporation,-0.024159750382589554,0.4281194853654616,1.0,-0.05643226063855918
RL,405.0,305.0,262.0,BBB,B,BB,Ralph Lauren Corporation,0.28778559933472975,0.45102454480261134,0.0,0.6380708159922376
PNW,629.0,300.0,479.0,AA,BBB,BB,Pinnacle West Capital Corporation,0.012097519451926567,0.24106019894032554,1.0,0.05018464062133006
AIZ,230.0,225.0,300.0,B,BB,B,"Assurant, Inc.",0.3346774483581289,0.2632236978463183,0.0,1.2714563737856477
ANET,414.0,285.0,308.0,BBB,BB,B,"Arista Networks, Inc.",0.0839096771929054,0.6494733313806152,1.0,0.12919649374137465
LW,348.0,305.0,251.0,BB,B,BB,"Lamb Weston Holdings, Inc.",0.1439740805039416,0.3889520688133334,1.0,0.3701589271480078
NRG,371.0,223.0,296.0,BB,B,B,"NRG Energy, Inc.",0.1033401338971109,0.3449589814888814,1.0,0.299572237403657
WYNN,205.0,205.0,201.0,B,B,B,"Wynn Resorts, Limited",0.07881617338283319,0.5461122304782826,1.0,0.14432230040665148
FRT,525.0,300.0,302.0,A,BB,BB,Federal Realty Investment Trust,0.28473202904949824,0.4067815042489557,0.0,0.6999630663522952
NWL,520.0,330.0,306.0,A,BB,BB,Newell Brands Inc.,0.37729351050889554,0.3557177779573123,4.0,1.0606540743492794
SEE,555.0,245.0,318.0,A,BB,B,Sealed Air Corporation,0.4738671971779421,0.2927590968408181,4.0,1.6186250138474705
IVZ,278.0,300.0,220.0,B,B,BB,Invictus Energy Limited,0.5120963288607011,0.4482955413390844,4.0,1.1423185859289167
PNR,402.0,335.0,351.0,BBB,BB,BB,Pentair plc,0.23383063394073625,0.28217056836906174,0.0,0.828685412841853
TPR,515.0,313.0,364.0,A,BB,BB,"Tapestry, Inc.",0.5152833307801725,0.47502445424186274,4.0,1.0847511663427156
GL,215.0,215.0,238.0,B,B,B,Group Lease Public Company Limited,0.15450266452352457,0.2932976471963381,1.0,0.5267777154042359
MHK,520.0,238.0,281.0,A,B,B,"Mohawk Industries, Inc.",0.3672881916427671,0.4740940628203546,4.0,0.7747158643113851
JNPR,225.0,205.0,332.0,B,BB,B,"Juniper Networks, Inc.",0.22842701842475746,0.27470897162423674,0.0,0.8315236924158906
