,Returns,Variance,clusters,sharpe
AAL,0.5381751392065744,0.6698822584382338,4,0.8033876586928547
AAPL,0.0420869062819425,0.6084818548253241,1,0.0691670687436099
ADBE,0.1221542705163657,0.3424558490852534,1,0.3567007859338846
ADI,0.2486679928142841,0.3080857879311285,0,0.8071387988525878
ADP,0.2375901114936792,0.2466161609072739,0,0.9634004139047948
ADSK,0.0992871083022498,0.3661045546204897,1,0.2711987792808876
AKAM,0.1067852372808062,0.2686299372544976,1,0.3975180070106591
AMAT,0.5156910877269023,0.431626191807952,4,1.1947631944364354
AMGN,0.0324644791739527,0.2349787713557651,1,0.1381592004530509
AMZN,0.0923015746831271,0.3368926529791674,1,0.2739791855562811
ATVI,0.1195739530921902,0.3425763006052255,1,0.3490432726401106
AVGO,0.4222817582571734,0.3043090936631619,4,1.3876738061748324
BATRA,0.1996450675235532,0.3654754234342484,0,0.5462612660724387
BATRK,0.1884375365748059,0.3657874808591126,0,0.5151557842609297
BBBY,0.9616111402996655,1.0683760524720736,3,0.9000680407190251
BIDU,0.3064178963218673,0.5998863516650692,4,0.5107932452061315
BIIB,-0.0390133535893092,0.5548073425378125,1,-0.0703187405755185
BMRN,0.0392288275159566,0.405726934058047,1,0.0966877577576454
CERN,0.1908441803096598,0.2171077809988912,0,0.879029666424689
CHKP,0.1314212030871341,0.2527174396258722,1,0.520032188050388
CHTR,-0.058390636154116,0.2629450289602962,1,-0.2220640427582786
CMCSA,0.0784781319461027,0.2511794628409198,1,0.312438489430983
COST,0.300095030363405,0.2005863756875812,0,1.496088801319244
CSCO,0.1141940214298082,0.2407324390149752,1,0.474360754608167
CSX,-0.0580319469314969,0.5403463822897862,1,-0.107397678292171
CTSH,0.2152221843285183,0.2606366842505359,0,0.8257555337898517
CTXS,-0.1379545499524355,0.3225817641130669,1,-0.4276576214149588
DISH,0.1811293355415169,0.4154747730712627,1,0.4359574811307483
DLTR,0.4273019847455684,0.3437713118142239,4,1.2429832567776482
EA,0.0398536746386146,0.262561787507562,1,0.1517877944728221
EBAY,0.1878568567890495,0.3307834174301393,0,0.567914976659084
ENDP,-0.0213549091628654,0.8478064143221956,1,-0.0251884260393786
EXPE,0.5938852996422282,0.4814955265967266,4,1.2334181042966013
FAST,0.2446832001096109,0.2317909867934302,0,1.0556199940926525
FB,0.0788964976006147,0.4193229218301512,1,0.1881521221312394
FISV,0.0228856467338067,0.2862227757507093,1,0.079957462063534
