stock_symbol,esg_id,Name,exchange_symbol,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,total_grade,total_level,disclaimer,last_processing_date,environment_score,social_score,governance_score,total
NLSN,5092,Nielsen Holdings plc,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,540,300,300,1140
PVH,5879,PVH Corp.,NYSE,BB,Medium,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,363,326,350,1039
GPS,2998,"The Gap, Inc.",NYSE,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,520,352,328,1200
ALK,234,"Alaska Air Group, Inc.",NYSE,A,High,BB,Medium,B,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,500,307,220,1027
PENN,5541,"Penn National Gaming, Inc.",NASDAQ,BB,Medium,BB,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,341,323,210,874
DXC,71915,DXC Technology Company,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",19-12-2021,510,355,308,1173
VNO,7610,Vornado Realty Trust,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,535,318,310,1163
UA,7336,"Under Armour, Inc.",NYSE,B,Medium,BB,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,240,311,200,751
HII,3605,"Huntington Ingalls Industries, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,560,319,310,1189
IPGP,3905,IPG Photonics Corporation,NASDAQ,BBB,High,BB,Medium,B,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,477,302,245,1024
OGN,74019,Organon & Co.,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",20-12-2021,565,301,300,1166
